Epoch: [0]  [   110/109815]  eta: 15:16:14  lr: 0.000010  class_error: 100.00  grad_norm: 31.36  loss: 7.2969 (7.9421)  loss_ce: 1.9376 (2.0949)  loss_bbox: 3.6314 (4.0663)  loss_giou: 1.8127 (1.7809)  loss_ce_unscaled: 0.9688 (1.0474)  class_error_unscaled: 100.0000 (96.0961)  loss_bbox_unscaled: 0.7263 (0.8133)  loss_giou_unscaled: 0.9063 (0.8905)  cardinality_error_unscaled: 298.0000 (295.3964)  loss_ce_0_unscaled: 1.1035 (1.1121)  loss_bbox_0_unscaled: 0.7392 (0.8211)  loss_giou_0_unscaled: 0.9075 (0.8936)  cardinality_error_0_unscaled: 297.0000 (293.0811)  time: 0.5059  data: 0.0000  max mem: 7341
Epoch: [0]  [   120/109815]  eta: 15:17:28  lr: 0.000010  class_error: 100.00  grad_norm: 35.11  loss: 7.3579 (8.0058)  loss_ce: 1.9533 (2.0884)  loss_bbox: 3.4001 (4.1336)  loss_giou: 1.8127 (1.7838)  loss_ce_unscaled: 0.9766 (1.0442)  class_error_unscaled: 100.0000 (95.5923)  loss_bbox_unscaled: 0.6800 (0.8267)  loss_giou_unscaled: 0.9063 (0.8919)  cardinality_error_unscaled: 299.0000 (295.6116)  loss_ce_0_unscaled: 1.0666 (1.1092)  loss_bbox_0_unscaled: 0.6815 (0.8340)  loss_giou_0_unscaled: 0.9075 (0.8946)  cardinality_error_0_unscaled: 298.0000 (293.4959)  time: 0.5115  data: 0.0000  max mem: 7341
Epoch: [0]  [   130/109815]  eta: 15:19:40  lr: 0.000010  class_error: 100.00  grad_norm: 90.69  loss: 7.4053 (7.9368)  loss_ce: 1.9646 (2.0785)  loss_bbox: 3.6461 (4.0832)  loss_giou: 1.8176 (1.7751)  loss_ce_unscaled: 0.9823 (1.0393)  class_error_unscaled: 100.0000 (94.7837)  loss_bbox_unscaled: 0.7292 (0.8166)  loss_giou_unscaled: 0.9088 (0.8876)  cardinality_error_unscaled: 299.0000 (295.8168)  loss_ce_0_unscaled: 1.0941 (1.1118)  loss_bbox_0_unscaled: 0.7408 (0.8240)  loss_giou_0_unscaled: 0.9101 (0.8907)  cardinality_error_0_unscaled: 298.0000 (293.8321)  time: 0.5140  data: 0.0000  max mem: 7341
Epoch: [0]  [   140/109815]  eta: 15:18:36  lr: 0.000010  class_error: 100.00  grad_norm: 85.84  loss: 8.9532 (8.0056)  loss_ce: 1.9674 (2.0812)  loss_bbox: 5.1619 (4.1474)  loss_giou: 1.9124 (1.7770)  loss_ce_unscaled: 0.9837 (1.0406)  class_error_unscaled: 100.0000 (94.2671)  loss_bbox_unscaled: 1.0324 (0.8295)  loss_giou_unscaled: 0.9562 (0.8885)  cardinality_error_unscaled: 298.0000 (295.9007)  loss_ce_0_unscaled: 1.1588 (1.1161)  loss_bbox_0_unscaled: 1.0553 (0.8367)  loss_giou_0_unscaled: 0.9572 (0.8915)  cardinality_error_0_unscaled: 298.0000 (294.0638)  time: 0.5069  data: 0.0000  max mem: 7341
Epoch: [0]  [   150/109815]  eta: 15:19:21  lr: 0.000010  class_error: 100.00  grad_norm: 93.29  loss: 8.9532 (7.9556)  loss_ce: 2.0563 (2.0686)  loss_bbox: 5.1619 (4.1109)  loss_giou: 1.9146 (1.7760)  loss_ce_unscaled: 1.0281 (1.0343)  class_error_unscaled: 100.0000 (94.6468)  loss_bbox_unscaled: 1.0324 (0.8222)  loss_giou_unscaled: 0.9573 (0.8880)  cardinality_error_unscaled: 295.0000 (295.4106)  loss_ce_0_unscaled: 1.0832 (1.1088)  loss_bbox_0_unscaled: 1.0553 (0.8288)  loss_giou_0_unscaled: 0.9582 (0.8909)  cardinality_error_0_unscaled: 296.0000 (294.0662)  time: 0.5025  data: 0.0000  max mem: 7348
Epoch: [0]  [   160/109815]  eta: 15:20:12  lr: 0.000010  class_error: 100.00  grad_norm: 65.69  loss: 8.0406 (8.0252)  loss_ce: 2.0563 (2.0542)  loss_bbox: 4.3672 (4.1908)  loss_giou: 1.9137 (1.7802)  loss_ce_unscaled: 1.0281 (1.0271)  class_error_unscaled: 100.0000 (94.3582)  loss_bbox_unscaled: 0.8734 (0.8382)  loss_giou_unscaled: 0.9568 (0.8901)  cardinality_error_unscaled: 290.0000 (295.0124)  loss_ce_0_unscaled: 1.0636 (1.1012)  loss_bbox_0_unscaled: 0.8865 (0.8451)  loss_giou_0_unscaled: 0.9583 (0.8928)  cardinality_error_0_unscaled: 295.0000 (294.0807)  time: 0.5103  data: 0.0000  max mem: 7348
Epoch: [0]  [   170/109815]  eta: 15:20:38  lr: 0.000010  class_error: 50.00  grad_norm: 60.85  loss: 8.9536 (7.9867)  loss_ce: 2.0701 (2.0581)  loss_bbox: 5.0703 (4.1537)  loss_giou: 1.9111 (1.7749)  loss_ce_unscaled: 1.0351 (1.0291)  class_error_unscaled: 100.0000 (94.3957)  loss_bbox_unscaled: 1.0141 (0.8307)  loss_giou_unscaled: 0.9555 (0.8874)  cardinality_error_unscaled: 291.0000 (294.8421)  loss_ce_0_unscaled: 1.0637 (1.0987)  loss_bbox_0_unscaled: 1.0359 (0.8374)  loss_giou_0_unscaled: 0.9572 (0.8908)  cardinality_error_0_unscaled: 295.0000 (294.1111)  time: 0.5097  data: 0.0000  max mem: 7348
Epoch: [0]  [   180/109815]  eta: 15:20:05  lr: 0.000010  class_error: 100.00  grad_norm: 69.24  loss: 7.7582 (8.0591)  loss_ce: 2.2253 (2.0655)  loss_bbox: 4.0814 (4.2167)  loss_giou: 1.8665 (1.7769)  loss_ce_unscaled: 1.1127 (1.0328)  class_error_unscaled: 100.0000 (94.7053)  loss_bbox_unscaled: 0.8163 (0.8433)  loss_giou_unscaled: 0.9332 (0.8884)  cardinality_error_unscaled: 294.0000 (294.8674)  loss_ce_0_unscaled: 1.0911 (1.1004)  loss_bbox_0_unscaled: 0.8240 (0.8496)  loss_giou_0_unscaled: 0.9373 (0.8917)  cardinality_error_0_unscaled: 296.0000 (294.2376)  time: 0.5037  data: 0.0000  max mem: 7348
Epoch: [0]  [   190/109815]  eta: 15:19:55  lr: 0.000010  class_error: 100.00  grad_norm: 34.71  loss: 8.3910 (8.0326)  loss_ce: 2.1769 (2.0681)  loss_bbox: 4.6323 (4.1920)  loss_giou: 1.9037 (1.7725)  loss_ce_unscaled: 1.0884 (1.0341)  class_error_unscaled: 100.0000 (94.9825)  loss_bbox_unscaled: 0.9265 (0.8384)  loss_giou_unscaled: 0.9519 (0.8862)  cardinality_error_unscaled: 295.0000 (294.9319)  loss_ce_0_unscaled: 1.1393 (1.1023)  loss_bbox_0_unscaled: 0.9325 (0.8448)  loss_giou_0_unscaled: 0.9548 (0.8897)  cardinality_error_0_unscaled: 297.0000 (294.4084)  time: 0.5009  data: 0.0000  max mem: 7348
Epoch: [0]  [   200/109815]  eta: 15:18:29  lr: 0.000010  class_error: 100.00  grad_norm: 71.10  loss: 7.6211 (8.0531)  loss_ce: 2.0352 (2.0650)  loss_bbox: 4.0425 (4.2128)  loss_giou: 1.8707 (1.7753)  loss_ce_unscaled: 1.0176 (1.0325)  class_error_unscaled: 100.0000 (95.2322)  loss_bbox_unscaled: 0.8085 (0.8426)  loss_giou_unscaled: 0.9354 (0.8876)  cardinality_error_unscaled: 297.0000 (295.0697)  loss_ce_0_unscaled: 1.1393 (1.1025)  loss_bbox_0_unscaled: 0.7960 (0.8494)  loss_giou_0_unscaled: 0.9395 (0.8911)  cardinality_error_0_unscaled: 298.0000 (294.5522)  time: 0.4957  data: 0.0000  max mem: 7348
